quarter_id,indicator_code,value,value_status,source_file
2007Q2,gdp_level,2.48442e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2007Q2,gdp_growth_qoq,8.1217,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2007Q2,cpi_index,67.013,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q2,inflation_yoy,2.643,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q2,inflation_yoy_accel,-0.4651,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q2,growth_employment_gap,0.315,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q3,underemployment_change_qoq,3.067,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q3,underemployment_rate,21.991,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q3,unemployment_rate,7.814,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q3,employment_rate,92.186,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q3,lfpr,63.567,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q3,underemployment_change_yoy,-1.449,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q3,gdp_growth_yoy,6.5,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q3,gdp_growth_yoy_accel,-0.3,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q3,gdp_level,2.36277e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2007Q3,gdp_growth_qoq,-4.8963,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2007Q3,cpi_index,67.7774,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q3,inflation_yoy,2.8164,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q3,inflation_yoy_accel,0.1734,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q3,growth_employment_gap,5.051,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
